String,LEN,FREQ,Orth,Orth_F,N1_F,N1_C,N2_F,N2_C,N3_F,N3_C,UN1_F,UN1_C,UN2_F,UN2_C,UN3_F,UN3_C,PhoWord,LengthOrtho,LengthPhono,FreqPerMill,avgfreq,category
end,3,458.63,1,28470.7,24473.99,31.67,14693.98,1.5,458.63,1,324805.74,41182,45407.95,4396,2993.02,518,E.n.d,3,3,265.8627,265.8627,real
hey,3,18.5022,12,344.54,14079.79,59.67,2077.87,6.5,18.5,1,281913.02,28312.33,61739.78,1587.5,4757.81,4,h.eI,3,2,1727.039,1727.0392,real
few,3,592.131,13,89.9,9232.18,53.67,1176.5,7.5,592.13,1,236146.8,25426.67,5844.36,709.5,625.57,6,f.j.u,3,3,301.8235,301.8235,real
axe,3,7.49609,9,507.92,38355.83,34.67,7.5,1,7.5,1,303424.23,35614.67,458.12,182,75.38,35,1.k.s,3,3,4.8824,4.8824,real
cry,3,52.5321,6,60.71,5099.96,37.33,233.75,3.5,52.53,1,146429.22,23684.67,6253.61,1112.5,129.46,35,k.r0.aI,3,3,65.6471,65.6471,real
van,3,56.3396,11,287.94,12189.66,69.33,1640.01,6.5,56.34,1,236543.47,28802.67,33609.32,3254.5,568.27,130,v.1.n,3,3,51.7843,51.7843,real
crew,4,21.8933,6,26.32,9709.14,138,581.76,15,90.43,2.5,243286.32,32600.25,22002.28,3027.33,999.06,216.5,k.r0.u,4,3,47.5294,47.5294,real
earn,4,20.7035,7,12.72,15652.04,220.75,1231.22,31.33,65.23,4.5,358171.16,45901.5,21041.08,2765,3361.19,299.5,36.n,4,2,15.3529,15.3529,real
horn,4,9.8758,7,25.89,16537.04,234.25,2141.32,30.67,100.48,4.5,274362.12,30989.5,20940.86,2283.67,949.18,258.5,h.or.n,4,3,21.0784,21.0784,real
blue,4,133.978,5,1.74,12271.09,186,299.23,12,138.32,3,218883.53,30474.25,4797.99,1216.33,360.17,80,b.l.u,4,3,102.3922,102.3922,real
time,4,1770.21,10,5.6,24790.78,235.75,3582,18.33,1777.91,3,330404.94,41208,23338.23,4191,3055.73,222.5,t.aI.m,4,3,1958.628,1958.6275,real
vote,4,52.8891,6,14.66,18755.61,248,557.84,17.67,96.74,3.5,319433.12,35160.75,16949.11,3180,689.07,127,v.oU.t,4,3,34.3333,34.3333,real
life,4,741.22,10,260.97,17297.52,219.75,1848.16,17.67,873.56,3,272896.49,37269.75,11491.17,2246,1098,109,l.aI.f,4,3,796.6471,796.6471,real
leap,4,13.2669,9,20.58,14267.63,201.75,1825.99,34.67,105.9,5.5,287920.58,37733,19426.47,3216,1749.92,183,l.i.p,4,3,6.6667,6.6667,real
gift,4,32.3046,6,9.99,13985.78,182.25,861.91,13.67,57.86,2.5,219115.55,27793,4867.68,787,303.62,51.5,g.I.f.t,4,4,64.5098,64.5098,real
tail,4,33.2565,13,17.48,19953.62,234.5,1927.61,28,111.28,6.5,312358.56,39460.75,14160.07,2351,1493.36,246.5,t.eI.l,4,3,23.902,23.902,real
hall,4,120.711,17,69.34,14801.59,235,4506.66,40.33,618.49,7,241640.91,28244,30325.5,3301.67,5572.12,742.5,h.O.l,4,3,51.9412,51.9412,real
cake,4,22.4288,18,172.36,18350.63,262.75,2536.14,24,896.41,5.5,262710.53,33265.75,10261.39,1783.67,1532.06,159,k.eI.k,4,3,45.0588,45.0588,real
sale,4,33.7324,20,55.56,22198.04,321.5,2374.71,35.33,147.6,6.5,334208.21,46393.75,22362.95,3889.33,717.04,247,s.eI.l,4,3,25.3922,25.3922,real
heat,4,120.592,11,84.65,21073.55,232.25,6998.27,39,586.15,6.5,384989.83,38994,62460.46,4308,3085.92,377,h.i.t,4,3,40.0784,40.0784,real
