String,LEN,FREQ,Orth,Orth_F,N1_F,N1_C,N2_F,N2_C,N3_F,N3_C,UN1_F,UN1_C,UN2_F,UN2_C,UN3_F,UN3_C,PhoWord,LengthOrtho,LengthPhono,FreqPerMill,avgfreq,category
hed,3,NaN,19,589.24,24676.35,61.67,2345.68,8,0,0,310801.1,32351,78414.23,5058,1805.07,317,,NaN,NaN,NaN,NaN,pseudo
han,3,NaN,20,593.66,19692.36,77.33,5933.15,9,0,0,304401,31056.67,51343.36,3799,4269.5,392,,NaN,NaN,NaN,NaN,pseudo
yer,3,NaN,7,753.31,11850.78,45.33,2636.6,3.5,0,0,281311.5,37299.67,34637.69,5651.5,282.95,59,,NaN,NaN,NaN,NaN,pseudo
aps,3,NaN,8,5.4,20257.12,29.33,14.9,2.5,0,0,241361.2,36326.67,3983.22,1063,602.9,121,,NaN,NaN,NaN,NaN,pseudo
tes,3,NaN,8,88.93,33020.12,55.67,355.74,4,0,0,392400.5,50855.33,34851.84,9685,1775.26,1045,,NaN,NaN,NaN,NaN,pseudo
tou,3,NaN,13,596.53,32853.64,57.33,3877.44,6.5,0,0,277739.8,30005,40123.94,2733.5,399.32,125,,NaN,NaN,NaN,NaN,pseudo
rew,3,NaN,17,115.69,6198.23,54.67,946.02,7.5,0,0,285502,35924,30758.41,3841,389.86,117,,NaN,NaN,NaN,NaN,pseudo
bis,3,NaN,10,642.46,13584.56,54,3179.74,4.5,0,0,211818.8,36618,18584.38,2951,91.5,58,,NaN,NaN,NaN,NaN,pseudo
fet,3,NaN,20,170.93,13805.17,67,1628.49,9,0,0,336103,36521,10780.92,1676.5,144.21,36,,NaN,NaN,NaN,NaN,pseudo
ged,3,NaN,15,130.52,17906.27,60.33,846.13,6.5,0,0,257237.5,33783,26146.68,4632,1130.48,244,,NaN,NaN,NaN,NaN,pseudo
nop,3,NaN,19,382.05,11929.71,66,3625.94,8.5,0,0,229473.5,29476.33,12008.76,1309.5,36.53,36,,NaN,NaN,NaN,NaN,pseudo
che,3,NaN,4,16431.17,49872.23,36.67,32859.39,1.5,0,0,294209.9,32833.33,67480.92,2769.5,2439.8,742,,NaN,NaN,NaN,NaN,pseudo
ois,3,NaN,5,1190.31,14471.68,48.67,2975.41,2,0,0,297426.3,44190.67,18699.67,2683.5,232.08,109,,NaN,NaN,NaN,NaN,pseudo
boe,3,NaN,19,21.96,36655.07,74,204.6,8,0,0,303571.9,35793.33,4404.28,829,4.16,4,,NaN,NaN,NaN,NaN,pseudo
mry,3,NaN,9,203.28,5355.74,37,394.59,4,0,0,141789.2,21057,4532.9,422.5,0,0,,NaN,NaN,NaN,NaN,pseudo
jad,3,NaN,17,405.56,23235.56,68.67,3447.28,8.5,0,0,184558.3,21378,8160.44,952,3.75,3,,NaN,NaN,NaN,NaN,pseudo
ouy,3,NaN,4,981.93,9325.63,48.33,1963.85,2,0,0,173593.2,20286.33,20700.75,1622.5,0,0,,NaN,NaN,NaN,NaN,pseudo
noy,3,NaN,14,518.5,14118.13,65,3628.11,6.5,0,0,229864.2,27089.33,9230.27,774.5,28.08,8,,NaN,NaN,NaN,NaN,pseudo
sid,3,NaN,20,93.05,19877.79,65.67,905.81,8.5,0,0,245188.5,40147.33,13294.73,2026.5,1957.31,176,,NaN,NaN,NaN,NaN,pseudo
sas,3,NaN,14,1045.53,20093.85,73,7318.48,6,0,0,303078,47874.33,20735.94,1955,81.8,36,,NaN,NaN,NaN,NaN,pseudo
foy,3,NaN,16,544.76,14702.43,68,4325.6,6,0,0,165902.9,16748.33,8419.3,607,6.31,2,,NaN,NaN,NaN,NaN,pseudo
nen,3,NaN,18,117.08,8898.81,59.33,1050.64,8,0,0,364907.5,47084.67,33943.8,5193,257.31,71,,NaN,NaN,NaN,NaN,pseudo
dow,3,NaN,19,168.37,11637.95,62.33,1596.81,9,0,0,193952.9,19811,10673.95,1044.5,1724.05,145,,NaN,NaN,NaN,NaN,pseudo
ane,3,NaN,14,2688.19,49538.89,39.67,16527.93,2,0,0,396594.9,48082.33,43660.47,5000,617.18,224,,NaN,NaN,NaN,NaN,pseudo
ush,3,NaN,3,169.36,421.92,10.67,253.05,1,0,0,208778.7,27249.33,14921.35,2457.5,493.02,154,,NaN,NaN,NaN,NaN,pseudo
ild,3,NaN,4,202.08,15034.72,30,403.99,1.5,0,0,213959.4,32973.33,13070.33,1493.5,1713.93,87,,NaN,NaN,NaN,NaN,pseudo
hix,3,NaN,11,801.1,11798.17,50,4405.94,5,0,0,185778.8,20758,15015.2,1040,0,0,,NaN,NaN,NaN,NaN,pseudo
rou,3,NaN,11,584.78,11393.12,55.67,3216.27,5.5,0,0,227977,30384,31558.05,3406,4127.96,393,,NaN,NaN,NaN,NaN,pseudo
ler,3,NaN,11,457.81,9988.91,52.33,2517.7,5,0,0,311408.5,44060.33,46179.73,8252.5,620.93,461,,NaN,NaN,NaN,NaN,pseudo
lew,3,NaN,20,131.48,6483.75,54,1166.71,8.5,0,0,261215.2,32587,15518.03,2995.5,79.48,33,,NaN,NaN,NaN,NaN,pseudo
phe,3,NaN,6,10955.88,49461.96,41.33,32859.89,2,0,0,281522.3,30699.33,59309.38,1921.5,278.84,171,,NaN,NaN,NaN,NaN,pseudo
oll,3,NaN,5,888.45,5961.35,18.67,2158.72,1.5,0,0,221068.3,30669.33,15781.77,2599.5,1445.44,327,,NaN,NaN,NaN,NaN,pseudo
kee,3,NaN,13,91.35,29455.96,53.33,593.77,6.5,0,0,357902.9,44008.33,13112.03,1495.5,528.83,53,,NaN,NaN,NaN,NaN,pseudo
dir,3,NaN,11,155.44,10183.6,50.33,854.94,5.5,0,0,238246.2,36310.33,11533.83,2337.5,522.17,58,,NaN,NaN,NaN,NaN,pseudo
eet,3,NaN,18,154.36,10820.08,64.33,1319.49,7.5,0,0,478253.6,55056.67,14678.71,1980.5,1262.14,127,,NaN,NaN,NaN,NaN,pseudo
sut,3,NaN,19,503.77,12868.9,66,4417.75,7,0,0,257940.1,35857.67,12764.94,1469.5,1.43,5,,NaN,NaN,NaN,NaN,pseudo
tob,3,NaN,24,71.96,30875.11,69,858.57,11,0,0,260539.3,27376,20894.21,1442.5,94.3,23,,NaN,NaN,NaN,NaN,pseudo
het,3,NaN,24,290.92,18052.46,68,3334.6,10,0,0,386059.7,38031,65390.05,2643.5,482.9,107,,NaN,NaN,NaN,NaN,pseudo
cun,3,NaN,18,151.13,6627.47,55.33,381.88,8,0,0,173754.1,26666.67,8587.36,1844.5,20.94,23,,NaN,NaN,NaN,NaN,pseudo
san,3,NaN,23,217.67,14983.4,82.33,2329,9,0,0,310741.8,43881,36593.18,3495,582.91,188,,NaN,NaN,NaN,NaN,pseudo
mes,3,NaN,7,227.04,12468.3,52.67,607.42,2.5,0,0,295910.7,43030,31722.64,7316.5,1619.04,214,,NaN,NaN,NaN,NaN,pseudo
munt,4,NaN,8,122.75,13877.09,216.5,1573.39,26.67,29.15,2.5,224882.7,27584.75,15328.13,2613,1329.6,226,,NaN,NaN,NaN,NaN,pseudo
mont,4,NaN,8,151.23,18569.34,268.75,2686,30,3.42,2,276188,31292.5,29325.66,4369.67,2135.08,376.5,,NaN,NaN,NaN,NaN,pseudo
bere,4,NaN,9,495.05,20372.77,269,5765.01,33.33,2193.55,3,337944,44225.25,48056.76,6563.67,7240.38,583,,NaN,NaN,NaN,NaN,pseudo
sors,4,NaN,11,27.09,15953.26,356.25,2603.9,30.67,120.68,1.5,273369.9,43602.75,21397.3,2928.33,955.84,299,,NaN,NaN,NaN,NaN,pseudo
beay,4,NaN,9,15.98,16536.98,210.5,2876.42,36.33,70.44,3.5,262279.6,31254.25,18738.41,1621,343.27,83,,NaN,NaN,NaN,NaN,pseudo
cany,4,NaN,6,163.6,13914.81,245,1992.23,30.67,489.95,2.5,216221.6,28117,27942.79,3076,3314.11,181.5,,NaN,NaN,NaN,NaN,pseudo
nade,4,NaN,12,109.23,17323.28,246.25,1082.67,18,516.01,3.5,339049.4,41357.25,14888.44,2713,1146.19,195.5,,NaN,NaN,NaN,NaN,pseudo
deel,4,NaN,12,59.85,15313.22,205.75,2300.62,28.67,273.93,4.5,344756.2,44369.5,17899.07,2860.67,725.93,75,,NaN,NaN,NaN,NaN,pseudo
tobs,4,NaN,25,7.77,17734.58,298.25,576.84,31,53.96,6.5,261336.2,33249.5,14306.83,1092.67,228.6,73.5,,NaN,NaN,NaN,NaN,pseudo
tith,4,NaN,3,2356.49,19915.75,167.25,5797.53,17.67,3534.73,1.5,333626.8,34307.75,65552.48,4602.67,4758.65,189.5,,NaN,NaN,NaN,NaN,pseudo
sune,4,NaN,10,39.23,16083.51,271.75,1138.91,31.33,47.24,3.5,297409,42928.75,14905.47,2725.33,373.11,101.5,,NaN,NaN,NaN,NaN,pseudo
evea,4,NaN,3,595.18,8145.86,86.25,1823.29,5,892.78,1.5,366371.1,43616.5,20967.79,2140.67,3765.77,152.5,,NaN,NaN,NaN,NaN,pseudo
ropt,4,NaN,5,11.67,14481.11,230,596.55,19.67,16.75,1,259197.7,31780,10449.01,1809.67,728.82,191.5,,NaN,NaN,NaN,NaN,pseudo
mory,4,NaN,8,316.17,15920.26,231.75,3421.23,30.33,1224.48,3,187123.4,24120.75,19028.3,2188.33,2104.53,178.5,,NaN,NaN,NaN,NaN,pseudo
whem,4,NaN,9,562.26,22575.09,126.75,6462.97,14,2434.26,3,240257.4,23889,48883.9,1600,3713.09,101.5,,NaN,NaN,NaN,NaN,pseudo
rane,4,NaN,24,20.36,19340.8,300,1692.49,39.67,84.81,7.5,358171.2,45901.5,34750.12,5055.33,1521.59,497.5,,NaN,NaN,NaN,NaN,pseudo
thet,4,NaN,7,2901.03,29666.14,180,12896.34,14.67,4434.97,3,387591.9,38078.75,85760.86,2420.33,42977.16,344.5,,NaN,NaN,NaN,NaN,pseudo
lich,4,NaN,5,26.28,12589.01,159.25,2276.71,22.67,64.16,1.5,209202.3,28191,18668.73,3767.67,2701.77,208.5,,NaN,NaN,NaN,NaN,pseudo
kith,4,NaN,4,1767.87,12334.22,135.75,5336.42,16.33,3535.74,2,243363.8,26021.5,56420.81,2163.67,4433.46,92.5,,NaN,NaN,NaN,NaN,pseudo
thip,4,NaN,6,784.58,19461.55,124.25,10553.53,16.33,2323.99,2.5,255223.8,28809,52707.49,1618.33,5031.54,232.5,,NaN,NaN,NaN,NaN,pseudo
coys,4,NaN,13,15.72,10838.92,289.25,997.69,26.67,85.91,1.5,195810.1,28969.25,8749.66,1590.33,110.21,34,,NaN,NaN,NaN,NaN,pseudo
dren,4,NaN,3,22.21,12876.4,154.5,3394.95,16,33.32,1.5,304329.3,40726.25,35310.6,4637,2173.72,241.5,,NaN,NaN,NaN,NaN,pseudo
fand,4,NaN,12,113.5,15251.86,247.5,2238.61,33.33,416.03,4,232436.4,27455.5,38689.9,3039,16405.88,439,,NaN,NaN,NaN,NaN,pseudo
hoys,4,NaN,8,21.99,12243.19,279.75,860.88,18,85.91,1.5,227826.4,26411.25,8423.88,879.67,106.94,30.5,,NaN,NaN,NaN,NaN,pseudo
thes,4,NaN,10,1360.38,25553.04,242.75,13221.94,27.33,4434.85,2.5,355476.5,41240.75,93220.84,5551.33,43858.96,531.5,,NaN,NaN,NaN,NaN,pseudo
tham,4,NaN,9,1721.64,24244.52,141,14228.6,19.33,6553.24,3,280348.1,26812,57722.99,1806,6780.18,90.5,,NaN,NaN,NaN,NaN,pseudo
bepe,4,NaN,0,0,17016.37,233.75,1371.75,17.33,0,0,296863,38442.25,13567.38,1795,228.48,63,,NaN,NaN,NaN,NaN,pseudo
weng,4,NaN,4,181.77,14658.8,182,2999.66,28,346.75,1.5,246084.4,30999,31895.99,4958.33,835.25,70.5,,NaN,NaN,NaN,NaN,pseudo
mais,4,NaN,15,24.94,15339.61,318,4071.88,30.33,119.25,2.5,263413.1,38972.25,21089.53,2952,583.89,96,,NaN,NaN,NaN,NaN,pseudo
irat,4,NaN,5,3.83,14689.15,160,5009.13,23,9.58,2.5,330573.7,41963.5,24313.54,4635.33,1874.17,615.5,,NaN,NaN,NaN,NaN,pseudo
onve,4,NaN,1,578.75,13239.84,125.75,3028.16,10.33,0,0,293065.6,35327.75,25762.48,3388.33,578.89,141.5,,NaN,NaN,NaN,NaN,pseudo
nome,4,NaN,12,316.41,17823.49,247.25,3495.24,19,1622.69,3,308462.4,37605.5,20979.44,1992,3751.67,241,,NaN,NaN,NaN,NaN,pseudo
futh,4,NaN,0,0,10308.85,142.5,2807.7,14.67,0,0,212408,19241.75,48923.39,1453,577.02,69.5,,NaN,NaN,NaN,NaN,pseudo
jore,4,NaN,13,200.72,19463.88,274.5,4329.72,33.33,1287.07,5.5,273198.5,34303.5,32155.97,3863.33,2546.14,219.5,,NaN,NaN,NaN,NaN,pseudo
arey,4,NaN,6,67.8,11587.19,140.25,2063.11,12.33,146.95,2,306428.7,38445.5,32343.95,4108.67,3729.04,160.5,,NaN,NaN,NaN,NaN,pseudo
usee,4,NaN,3,181.08,15474.72,154,479.09,5.67,271.61,1.5,356051,49074.75,19845.62,2531.67,3353.52,272.5,,NaN,NaN,NaN,NaN,pseudo
elst,4,NaN,2,198.2,11121.63,140,2520.43,16.33,131.03,0.5,336810.2,45478.5,18306.24,3499.33,401.72,116.5,,NaN,NaN,NaN,NaN,pseudo
dach,4,NaN,4,163.56,13166.95,199.75,2307.74,22.67,322.78,1.5,227384.2,24522.75,12121.19,2002.33,1111.59,151,,NaN,NaN,NaN,NaN,pseudo
hame,4,NaN,16,431.37,20680.41,268,4989.56,28.33,902.71,4.5,312622.5,33125,24601.42,2079,1786.72,195.5,,NaN,NaN,NaN,NaN,pseudo
feem,4,NaN,7,126.17,16925.03,187.25,3195.51,25.67,441.59,3.5,310031.5,37390.25,11525.29,1346,1102.19,51,,NaN,NaN,NaN,NaN,pseudo
lais,4,NaN,16,10.08,14804.15,322.75,3447.27,29.67,40.22,2.5,280243.2,42622.75,20475.35,3242,535.38,118.5,,NaN,NaN,NaN,NaN,pseudo
gould,5,NaN,4,1207.78,11522.11,376.6,5108.16,33.5,3226.16,4.67,172299.3,23803.2,17577.44,1567,4011.16,53.33,,NaN,NaN,NaN,NaN,pseudo
wonch,5,NaN,3,4.2,10148.75,327,2792.86,47,56.42,6.67,212701.5,22433.4,21359.3,3081.25,832.42,190.67,,NaN,NaN,NaN,NaN,pseudo
whein,5,NaN,0,0,12254.95,232.2,4869,25.5,1363.02,3,290090.9,33618,55160.56,4140.75,2908.24,89,,NaN,NaN,NaN,NaN,pseudo
agage,5,NaN,4,0.73,8361.92,297.6,694.89,20.25,328.78,3,290574.8,36125.2,7537.52,1443.25,1545.7,195,,NaN,NaN,NaN,NaN,pseudo
sweal,5,NaN,4,17.09,7335.29,300.8,957.05,39.75,86.09,4,285830.6,38102.8,18016.07,2194.75,1191.2,139,,NaN,NaN,NaN,NaN,pseudo
easut,5,NaN,0,0,5770.35,300.2,916.43,20.75,4.01,1,335377.4,42586,20843.4,2067.75,1221.96,120.67,,NaN,NaN,NaN,NaN,pseudo
lalan,5,NaN,0,0,5514.07,355.2,794.33,43.5,5.85,1,278071.6,36270.4,31029.57,4413,809.06,223,,NaN,NaN,NaN,NaN,pseudo
otial,5,NaN,0,0,6644.27,217.2,993.99,18.5,19.35,0.67,314512,38231,21119.54,4160.5,1338.41,277.33,,NaN,NaN,NaN,NaN,pseudo
whees,5,NaN,2,14.55,16257.23,647,4956.65,112,482.76,6.67,328664.7,39030.8,46719.33,4134,1777.86,132.33,,NaN,NaN,NaN,NaN,pseudo
jorld,5,NaN,1,739.2,10407.69,373.8,2502.92,29.25,492.8,0.67,181592,24854,13421.02,1341.5,619.7,18.33,,NaN,NaN,NaN,NaN,pseudo
woind,5,NaN,1,25.82,13999.82,409.4,3276.5,40.5,481.49,3,234800.6,29342.6,34643.52,4199.75,2005.94,233.67,,NaN,NaN,NaN,NaN,pseudo
fimer,5,NaN,3,3.01,9396.73,425.8,2788.33,73.5,127.71,5.67,253433.1,34767.2,27987.72,4182,1510.13,201,,NaN,NaN,NaN,NaN,pseudo
sigat,5,NaN,1,97.45,8327.34,367.8,1230.4,23.25,56.3,1.67,285427,39211.6,18488.37,3149.25,533.29,198,,NaN,NaN,NaN,NaN,pseudo
seese,5,NaN,2,137.99,12661.92,454.4,1916.59,46,500.23,3.33,418262.4,58432.4,26926.11,5067,1875.05,155.67,,NaN,NaN,NaN,NaN,pseudo
oftas,5,NaN,0,0,5823.13,420.2,701.06,16,156.6,1.67,291131.2,34430.8,20990.16,1585.25,299.31,50.33,,NaN,NaN,NaN,NaN,pseudo
shice,5,NaN,4,6.01,14716.59,408.4,3650.37,48.25,1334.9,7.67,290356.5,39552,19827.94,2595.5,2545.66,307.33,,NaN,NaN,NaN,NaN,pseudo
scoue,5,NaN,5,8.89,9165.18,354.2,882.72,25,24.93,5,268536.6,37753.2,17546.34,2403.5,1692.93,214.67,,NaN,NaN,NaN,NaN,pseudo
boung,5,NaN,2,251.39,9667.31,344.8,3709.76,54.25,745.01,8,175613.2,23594,24621.02,3785.5,2994.87,265.33,,NaN,NaN,NaN,NaN,pseudo
baran,5,NaN,1,6.37,6841.08,398.8,999.57,55.5,6.66,4.67,271896.5,34521.8,29902.51,4278.75,1310.01,445,,NaN,NaN,NaN,NaN,pseudo
woule,5,NaN,2,1456.92,14945.46,406,5121.5,40.5,2595.35,3.33,244935.3,29910.8,22378.44,2805.25,3107.92,72.67,,NaN,NaN,NaN,NaN,pseudo
boile,5,NaN,2,1.28,14342.87,475.2,1697.55,46.25,257.62,5.67,277236.2,37023.6,13159.87,2495.25,820.05,147.33,,NaN,NaN,NaN,NaN,pseudo
abown,5,NaN,0,0,5778.84,180.2,1664.56,18.75,1037.63,4.67,230049.6,25923.6,8227.76,1097.25,2224.89,132,,NaN,NaN,NaN,NaN,pseudo
woift,5,NaN,0,0,12035.99,350,1830.21,20.25,23.86,1.33,241578.9,26546,5726.04,606,182.94,35.33,,NaN,NaN,NaN,NaN,pseudo
thill,5,NaN,3,4.36,13413.32,294,5477.66,41.75,1210.18,8,256479.6,31541,47977.59,2391.5,5635.61,333,,NaN,NaN,NaN,NaN,pseudo
rigat,5,NaN,1,758.53,6769.19,282.8,1272.73,22.25,265.52,1.33,281261.6,36909.4,19634.68,3789,721.15,206.67,,NaN,NaN,NaN,NaN,pseudo
brars,5,NaN,8,4.28,9664.23,619.8,1546.6,73,412.96,13.33,239522.1,36413,16772.35,3598.75,881.48,197,,NaN,NaN,NaN,NaN,pseudo
fuich,5,NaN,0,0,7583.84,294.8,2403.6,37.75,1143.03,1.67,175901.8,21952.8,10609.07,1981.5,1317.33,32.33,,NaN,NaN,NaN,NaN,pseudo
woong,5,NaN,1,197.93,11529.25,340.8,2936.27,47.25,278.94,6,221860.7,25429.2,25902.58,4260.5,1175.1,182.67,,NaN,NaN,NaN,NaN,pseudo
upase,5,NaN,1,0,8487.83,288.4,1435.17,34.25,22.19,3.33,272654.9,38187,18774.27,2148,853.62,126.67,,NaN,NaN,NaN,NaN,pseudo
beick,5,NaN,1,28.62,8135.92,328,1970.65,39.5,373.12,5,208158.3,30032.8,12726.12,1853.75,735.65,146.67,,NaN,NaN,NaN,NaN,pseudo
tanin,5,NaN,0,0,8278.55,373.2,819.84,47.25,22.09,3.67,330566.2,41255,42056.23,6073.25,2220.23,472,,NaN,NaN,NaN,NaN,pseudo
plint,5,NaN,6,86.77,9292.55,342.4,1860.12,52.25,209.73,8.33,246589.7,34215.4,34331.44,5932,3079.21,743.67,,NaN,NaN,NaN,NaN,pseudo
vikel,5,NaN,0,0,6978.5,359.6,617.25,36.25,45.08,4.67,213804,30384.8,9453,1430,945.42,45.33,,NaN,NaN,NaN,NaN,pseudo
wheir,5,NaN,1,2947.33,13346.1,248,5295.34,20,2329.66,2.67,281327.3,33711.8,37910.49,1260.75,3511.18,58,,NaN,NaN,NaN,NaN,pseudo
grers,5,NaN,2,0.57,10097.47,550.6,2507.69,53.75,299.8,8,270965.3,41951,35430.7,5712,3047.68,974.33,,NaN,NaN,NaN,NaN,pseudo
vight,5,NaN,10,256.62,5803.3,214.2,2076.7,18.75,1743.48,8.33,213492.8,24267.4,7955.63,997.25,3811.11,354.33,,NaN,NaN,NaN,NaN,pseudo
aross,5,NaN,4,22.67,9714.42,558,1128.68,39.25,67.86,4.67,295052,43258.8,18815.12,3370.5,978.6,200.67,,NaN,NaN,NaN,NaN,pseudo
neith,5,NaN,1,0,7880.06,321.4,1273.04,30.5,31.43,1.67,350064.6,40274.6,48428.3,2582,3105.14,72,,NaN,NaN,NaN,NaN,pseudo
cinal,5,NaN,2,63.42,5918.14,338.8,674.2,43,83.63,3.67,252120.7,36228,31444.86,5415.5,1588.91,415.67,,NaN,NaN,NaN,NaN,pseudo
fouly,5,NaN,2,4.28,10398.33,413.8,3847.59,49,1793.95,4,157130.6,19614.8,21348.84,2423.5,2414.02,52.67,,NaN,NaN,NaN,NaN,pseudo
neald,5,NaN,1,0.83,9676.51,368.4,3077.98,42,30.28,5,305247.4,38955.4,22776.86,3098.75,982.72,113,,NaN,NaN,NaN,NaN,pseudo
auring,6,NaN,4,98.89,6810.19,591.5,2268.54,167.6,1198.26,75.5,236457.2,33949.33,31421.27,5874.6,8599.75,2106,,NaN,NaN,NaN,NaN,pseudo
becore,6,NaN,2,689.67,7962.91,579.17,1945.47,57.2,649.74,5.5,298590.2,38807,30055.27,3794.8,2494.11,267.25,,NaN,NaN,NaN,NaN,pseudo
fusted,6,NaN,6,1.59,9262.95,932.5,2754.61,279.6,476.64,49,259392.3,33349.33,25270.61,4960.4,3483.84,719.5,,NaN,NaN,NaN,NaN,pseudo
bealth,6,NaN,2,95.58,5715.89,536.5,1352.64,59.2,300.17,9,296050.4,32653,41542.35,2333.4,1149.79,150.25,,NaN,NaN,NaN,NaN,pseudo
mounge,6,NaN,1,11.48,6528.85,526,1135.67,64,196.03,10.75,239294.7,30932.67,22936.3,3465.8,2325.82,312.25,,NaN,NaN,NaN,NaN,pseudo
