STRING,LEN,FREQ,Orth,Orth_F,N1_F,N1_C,N2_F,N2_C,N3_F,N3_C,UN1_F,UN1_C,UN2_F,UN2_C,UN3_F,UN3_C
insser,6,NA,0,0.00,7074.88,742.50,1995.96,196.80,174.15,20.75,313963.99,48642.17,39351.67,6888.20,1581.65,357.75
inyome,6,NA,1,107.92,4473.67,305.17,619.41,25.00,172.42,1.00,269837.33,34646.33,27806.05,3573.00,1838.90,96.75
iscker,6,NA,0,0.00,6519.44,672.67,1972.67,188.60,171.40,32.50,246852.42,38299.83,24051.09,4117.20,625.42,278.00
isllle,6,NA,0,0.00,5446.04,420.50,1271.44,78.60,18.15,0.75,266759.57,41796.33,21220.87,3493.20,642.22,145.25
itttly,6,NA,0,0.00,5696.65,427.83,1578.99,68.40,372.23,8.75,288629.88,33578.33,14420.52,2086.00,1310.30,168.75
jarst,5,NA,0,0.00,7548.58,357.00,1434.21,47.00,445.42,3.67,257215.47,34280.60,20079.41,3764.25,1165.48,130.67
jound,5,NA,8,138.98,10335.23,350.40,2937.57,39.50,925.61,7.67,179928.76,22586.80,25479.07,2182.00,3263.38,394.33
juler,5,NA,2,3.93,7227.72,401.00,2059.95,76.00,38.17,5.33,211522.48,30346.20,26586.03,4688.00,328.68,196.67
junded,6,NA,2,2.08,8099.65,870.83,2350.69,255.80,222.27,30.25,210702.80,27379.67,24460.55,3407.60,2585.91,486.00
kithed,6,NA,0,0.00,8914.56,837.00,3044.13,231.40,619.36,16.00,276859.03,31457.00,65218.18,3321.40,24035.85,271.00
kndes,5,NA,1,56.46,7677.91,563.60,1574.10,104.00,248.76,7.67,253856.08,35898.60,26526.66,4735.25,1778.87,468.33
knght,5,NA,0,0.00,4433.48,134.00,1504.05,12.75,885.75,4.00,207752.17,22255.80,13835.43,2383.50,2044.63,181.67
laban,5,NA,0,0.00,5169.80,312.40,692.39,29.50,25.80,1.67,257324.37,32519.60,22995.59,3082.25,487.82,137.33
lajod,5,NA,0,0.00,5694.49,316.60,468.54,16.25,62.11,0.33,209368.09,25358.80,5486.15,1173.75,89.10,5.00
laller,6,NA,2,5.74,9001.98,946.17,2319.31,227.40,418.55,32.00,276014.15,38793.33,31849.59,5607.60,3276.16,569.75
laped,5,NA,10,1.81,9176.05,492.20,1186.69,95.75,104.31,10.33,263619.02,34422.80,18708.57,3764.25,753.46,195.33
laurpt,6,NA,0,0.00,4922.79,478.67,470.11,38.20,8.09,2.25,230564.91,30586.67,7768.23,1544.40,213.03,52.00
laver,5,NA,15,33.38,9412.62,467.00,2832.88,87.00,450.64,15.00,271427.56,35939.80,29068.23,4552.00,5303.27,486.00
leaght,6,NA,0,0.00,5690.05,482.00,846.31,51.60,250.12,9.50,299002.05,33669.50,14993.63,2174.80,2378.24,215.75
leary,5,NA,6,21.69,8156.95,414.60,2242.46,62.25,817.05,14.33,279150.88,36626.00,23312.01,3460.75,3619.04,332.00
leavy,5,NA,4,95.74,6450.64,374.20,1402.41,40.00,438.62,7.00,238797.27,29881.20,15093.28,2220.75,1391.36,129.33
leded,5,NA,2,0.30,9398.76,442.00,1351.42,88.25,73.10,5.33,309087.50,39732.00,31999.62,6060.00,1779.13,403.00
lefond,6,NA,0,0.00,8055.62,581.83,1236.85,39.40,381.76,2.25,260402.83,32345.50,28050.98,3363.80,929.10,88.75
leing,5,NA,2,465.05,8626.97,313.40,2667.73,46.00,1214.86,9.00,273496.66,39359.00,37216.83,6716.25,10355.43,2395.00
leite,5,NA,0,0.00,10880.91,419.20,1265.48,34.25,354.72,3.33,382045.26,48581.60,26129.74,4264.00,1101.90,165.67
lelad,5,NA,0,0.00,6746.56,338.20,478.89,32.50,20.41,2.00,281911.66,37047.00,18590.76,3388.75,385.95,100.00
lendly,6,NA,1,0.12,7052.93,576.17,1259.26,96.60,120.12,11.75,232374.11,31884.67,27220.45,3698.40,1282.29,286.25
letfet,6,NA,0,0.00,9207.06,806.17,628.20,60.20,33.35,1.25,348637.17,40101.17,12535.47,2287.00,353.98,80.50
liatle,6,NA,2,494.27,7860.76,630.17,1600.74,85.20,346.28,10.50,323459.98,41777.50,20442.57,4088.00,876.49,232.50
ligan,5,NA,1,1.73,5784.81,258.60,1388.84,28.25,237.57,2.33,245595.49,35040.80,24413.43,3284.00,802.62,168.67
ligrch,6,NA,0,0.00,3787.83,338.00,731.24,37.80,71.21,1.75,193953.74,28136.00,10972.23,2192.20,558.16,143.00
lilges,6,NA,2,2.53,8557.04,1058.33,1278.39,172.20,32.54,12.00,252421.90,39687.17,16677.06,4268.00,328.10,98.75
lilial,6,NA,1,1.13,5258.74,521.17,1002.63,68.00,126.63,8.50,250458.46,37784.50,18366.44,3818.80,1176.14,298.25
lilld,5,NA,0,0.00,8125.01,341.80,2121.35,50.50,70.14,6.33,196391.45,31523.20,16888.72,2748.75,1766.94,202.67
limble,6,NA,2,8.66,6636.12,507.00,1438.65,90.20,102.07,18.50,222635.63,32650.00,13730.98,2918.20,1389.30,343.00
limer,5,NA,8,2.47,9237.14,419.60,2548.43,74.50,147.38,8.33,268474.15,39063.40,30927.80,5057.00,1701.47,259.00
limone,6,NA,0,0.00,7194.50,531.83,891.40,46.40,64.51,7.25,284885.83,38026.67,22607.26,3826.80,2337.02,290.50
limope,6,NA,0,0.00,5990.62,452.00,697.85,31.60,47.74,4.25,250195.52,34249.50,12856.32,2417.80,665.90,123.25
lingul,6,NA,0,0.00,3818.89,403.33,742.43,60.80,81.52,10.25,189023.59,30191.67,30077.93,5680.60,8344.89,2098.75
linior,6,NA,0,0.00,6576.22,610.33,859.62,65.60,64.19,8.00,272272.59,39614.83,32783.60,5664.40,1326.05,411.75
linter,6,NA,5,18.95,9004.68,911.50,2764.49,230.60,510.80,35.25,319759.70,42947.17,45562.91,8208.20,5545.27,1273.25
lirors,6,NA,0,0.00,7020.44,770.00,1196.71,86.40,28.75,6.00,258019.69,40106.33,20690.18,3490.80,412.02,139.25
lirves,6,NA,0,0.00,9046.97,1078.50,1259.62,164.00,106.80,16.00,257418.38,39512.67,19496.48,4284.60,600.03,129.00
lituls,6,NA,0,0.00,7549.36,731.00,1184.92,58.00,255.43,2.25,236554.19,35776.50,16258.97,2546.00,1074.01,252.00
litupe,6,NA,0,0.00,6449.02,448.67,946.02,30.60,255.51,2.25,264236.89,35690.33,17048.29,2640.60,1098.98,258.50
loctes,6,NA,0,0.00,9885.94,1121.33,1770.24,193.80,128.47,10.50,297834.36,39642.50,19437.92,4909.80,935.67,354.50
loleng,6,NA,0,0.00,6438.78,556.67,1582.44,101.80,29.57,2.50,259203.80,35177.50,26312.59,4818.00,755.87,176.50
loline,6,NA,0,0.00,8500.85,689.50,1588.09,116.80,150.26,13.75,296105.89,40460.33,29256.82,5325.40,2149.95,681.00
lolket,6,NA,1,0.18,8462.50,842.83,1231.13,97.00,152.30,8.25,267969.32,33130.17,9865.04,1728.00,235.12,62.00
loming,6,NA,8,35.47,6972.92,576.17,2266.46,153.20,1055.59,71.50,212007.04,30229.83,31489.32,5503.40,8526.77,2005.50
louan,5,NA,1,1.73,8907.90,333.60,2666.01,40.50,3.65,1.67,255913.79,32382.80,30527.44,3025.00,251.79,95.33
loules,6,NA,1,0.18,9241.68,1103.17,1616.01,192.00,56.46,14.25,261020.49,37472.17,25904.28,4984.40,2496.03,402.00
loull,5,NA,0,0.00,10047.57,342.60,4022.80,43.75,1625.05,4.67,190229.88,27967.40,21900.30,2677.75,2610.27,200.33
loute,5,NA,3,14.58,11713.57,424.40,2880.31,46.75,175.33,7.33,304909.01,36567.40,26197.69,3699.00,2912.81,311.67
loviey,6,NA,0,0.00,9437.95,924.67,894.87,59.40,157.28,5.25,240126.33,31537.50,8785.88,1693.60,538.59,55.75
luangh,6,NA,0,0.00,4218.74,389.67,640.11,34.60,75.15,3.50,214193.47,26282.00,23460.26,3253.20,606.53,136.25
lutas,5,NA,1,0.12,6361.84,528.80,207.53,26.75,0.18,2.00,265128.01,35760.80,16897.03,2085.00,313.23,111.67
mamoue,6,NA,0,0.00,6731.82,564.17,731.00,58.20,52.37,2.75,258255.96,31107.00,16154.46,1944.60,396.15,80.25
manged,6,NA,5,5.15,9751.77,1016.50,2688.10,285.20,231.53,36.50,257155.03,32811.33,33823.61,5125.20,2627.93,442.75
mangty,6,NA,0,0.00,5338.15,597.83,860.56,83.60,89.27,10.25,221194.68,26583.33,24575.61,3468.00,1791.67,282.00
marile,6,NA,2,20.35,9535.79,791.00,1788.72,141.20,113.11,15.75,287358.51,39533.33,22131.08,4144.20,1395.25,388.50
marte,5,NA,2,0.48,9402.42,467.20,1444.50,60.00,269.52,6.67,328174.81,39536.80,23190.60,4147.00,2102.69,346.00
masict,6,NA,0,0.00,6707.79,613.83,946.93,70.20,78.68,7.00,260413.33,36123.33,18410.43,2663.40,821.42,174.00
mathed,6,NA,3,4.14,10276.79,969.00,3274.42,258.40,762.09,18.50,301515.22,31984.00,68948.58,4423.60,22779.04,436.25
meang,5,NA,2,201.00,7877.53,338.00,2433.31,58.25,298.48,7.00,275303.47,35137.20,38269.85,4802.75,1642.38,241.67
mearts,6,NA,1,19.28,6862.87,813.33,990.50,110.40,155.14,16.25,317433.48,41425.67,21043.10,2891.00,2959.69,298.75
medezy,6,NA,0,0.00,5612.58,494.50,272.25,32.40,8.55,3.50,232389.54,29010.00,17670.56,2877.60,540.52,112.25
megice,6,NA,0,0.00,7797.17,591.67,727.62,44.80,222.24,6.00,275228.37,38234.33,14162.00,2148.60,925.26,131.00
meing,5,NA,1,850.75,8590.34,317.20,2551.50,45.50,1214.86,9.00,260032.60,36438.60,37255.87,6045.00,10341.23,2385.67
memply,6,NA,0,0.00,6871.10,535.83,1435.82,75.00,247.70,6.75,175848.13,24601.17,13995.74,2124.80,1073.12,120.00
menge,5,NA,3,1.21,7722.63,365.00,585.45,47.25,36.69,4.33,303204.64,39455.40,30164.18,4716.75,3181.14,546.33
mentes,6,NA,1,0.00,10524.87,1173.17,1775.86,215.40,306.72,21.00,347987.50,44946.00,34173.07,6586.40,6621.23,1285.75
methed,6,NA,2,38.85,10722.60,926.17,2970.77,243.20,521.57,17.50,324766.19,35582.50,64879.26,3466.00,22656.05,318.75
migal,5,NA,0,0.00,5451.38,263.20,1399.69,33.75,270.00,1.33,208795.68,30212.00,13480.76,2435.50,439.65,97.00
mighen,6,NA,0,0.00,7232.97,743.67,1027.17,75.20,162.59,5.25,257477.89,32431.67,37914.60,2687.40,2796.75,185.50
mignal,6,NA,1,35.81,3900.27,414.83,556.76,51.80,40.14,4.25,221782.77,31658.33,11670.73,2252.80,1193.89,202.50
mipkle,6,NA,1,0.00,6427.35,525.50,940.09,74.20,11.63,4.25,201530.58,29543.67,7811.76,1789.80,50.38,36.75
mirnk,5,NA,0,0.00,6817.71,319.00,1024.38,33.00,0.85,1.00,193779.93,29292.40,6903.98,1246.25,70.12,23.33
mistes,6,NA,3,3.99,9342.23,1114.33,1707.03,217.60,343.05,29.00,308178.90,44428.67,29362.94,6602.80,2732.76,977.50
mitial,6,NA,0,0.00,5790.10,531.00,1038.22,66.40,135.90,5.75,276263.23,36829.83,23341.70,4184.60,1969.48,407.50
mitins,6,NA,1,0.71,8022.84,851.33,1600.18,130.20,96.56,14.50,276034.10,39918.00,34282.12,6131.80,3031.97,848.75
moighy,6,NA,0,0.00,4915.19,507.00,624.28,40.20,91.66,5.00,189956.24,22434.00,6958.09,950.60,1326.78,137.25
moins,5,NA,8,3.53,12488.01,654.60,2072.97,66.50,514.73,9.67,256343.23,37241.60,26704.48,4677.50,1581.02,262.33
moldly,6,NA,3,7.32,6360.14,579.67,1329.52,84.60,94.40,9.25,168680.90,22833.67,10342.49,1672.60,816.29,121.00
molost,6,NA,1,0.24,5844.08,505.83,968.14,63.20,148.00,3.75,262487.64,33301.67,15500.01,2865.20,1242.33,225.75
moluer,6,NA,0,0.00,9253.60,899.83,1937.70,162.40,31.44,2.75,246329.28,33120.00,18769.66,3287.60,298.89,73.00
moman,5,NA,2,193.86,7358.20,315.80,1107.34,34.50,362.19,3.67,239412.57,28715.40,27697.57,2951.00,1944.86,296.33
momath,6,NA,0,0.00,4800.08,471.17,758.51,48.60,104.59,4.00,257872.91,25884.33,43652.69,3090.00,1253.27,268.50
monulf,6,NA,0,0.00,6053.11,485.17,941.15,40.00,69.80,2.00,182557.01,23774.00,14976.48,2194.00,496.07,109.50
moomes,6,NA,0,0.00,9743.32,1119.33,1326.20,172.40,26.13,8.00,272783.88,35076.67,20883.85,3939.20,2429.13,205.00
moreed,6,NA,0,0.00,11073.66,1065.50,2809.18,245.60,231.53,9.25,312955.04,39257.83,32387.18,4339.80,3157.31,289.00
morss,5,NA,3,0.83,10574.42,624.80,1518.74,47.50,105.60,4.67,239239.74,37831.40,18467.29,3151.75,1483.29,218.00
mottic,6,NA,0,0.00,5350.74,477.00,1168.19,67.20,207.32,11.50,272047.88,32586.83,16648.20,3278.00,1464.56,384.00
mounot,6,NA,0,0.00,5629.51,505.67,895.58,53.60,168.80,7.50,257630.45,29493.83,19735.63,2045.80,3273.59,210.75
moured,6,NA,6,7.34,9579.27,955.50,2844.65,249.20,311.71,20.00,245724.84,31759.00,33497.92,4330.00,3915.01,487.75
moures,6,NA,2,0.06,9180.13,1112.00,1676.95,176.40,254.24,16.50,261943.84,36707.00,32764.23,5242.80,4472.12,607.50
mourgh,6,NA,0,0.00,4544.28,406.67,1192.76,45.80,205.82,7.50,185894.64,22498.00,16560.74,1695.80,2002.32,184.00
mouty,5,NA,3,47.06,8822.81,422.40,2747.30,53.50,213.92,6.67,203137.41,22765.40,18919.49,1836.00,2687.23,232.00
moviet,6,NA,2,83.62,9439.46,913.17,1140.17,79.20,202.41,5.50,280979.60,33963.17,9939.80,1943.60,839.15,73.75
muice,5,NA,1,21.54,10021.45,365.00,1875.94,30.00,186.67,3.67,232795.11,33544.00,10751.16,1868.50,985.26,109.33
munds,5,NA,3,25.50,5538.72,542.20,678.54,50.25,205.77,8.33,187496.39,28833.80,16784.86,1710.25,2264.89,329.33
mysing,6,NA,1,1.01,5314.50,449.17,2019.23,133.20,1031.47,68.75,187058.69,29775.83,27672.50,4837.80,8282.73,1907.50
mysted,6,NA,1,0.59,8635.89,838.33,2806.25,263.00,602.99,45.25,254346.99,32926.67,22761.41,4399.00,2731.54,630.75
mystes,6,NA,0,0.00,8236.75,994.83,1638.55,190.20,412.08,23.25,270565.99,37874.67,22027.73,5311.80,1589.25,524.00
nansh,5,NA,0,0.00,6044.77,327.80,468.27,38.50,7.95,2.00,292729.58,36586.00,24452.91,3462.75,762.88,277.33
napid,5,NA,2,18.65,6428.81,322.40,260.27,25.75,26.91,3.33,243782.73,33314.40,7250.27,1675.00,206.40,85.67
narigh,6,NA,0,0.00,6159.49,554.83,924.83,69.40,41.29,6.75,257590.38,32935.33,15835.85,2904.60,2209.38,409.50
neady,5,NA,4,34.24,6330.73,371.00,1493.30,45.50,133.80,5.00,287189.21,34899.00,16514.11,2223.75,1528.45,156.67
neale,5,NA,0,0.00,11180.38,403.80,1978.48,50.00,58.24,5.67,376222.08,47413.80,26632.56,4349.00,1280.01,192.67
nedel,5,NA,1,0.30,7490.34,381.40,817.31,35.00,18.05,1.67,333148.57,43273.60,25328.21,4662.50,1391.52,275.67
nelian,6,NA,0,0.00,6216.87,558.33,527.25,56.60,60.21,6.00,325328.06,43479.17,26111.22,3929.40,955.57,300.50
neofic,6,NA,0,0.00,4446.26,374.17,510.79,25.40,9.24,0.25,274671.65,35760.33,16942.32,2029.20,480.48,89.75
nepigs,6,NA,0,0.00,6865.63,741.67,330.73,32.00,2.77,1.50,256624.50,39090.67,8472.99,1802.80,102.34,60.00
netir,5,NA,0,0.00,7047.76,265.00,1229.91,17.00,0.36,1.33,349703.75,45667.00,19878.22,4100.00,654.78,192.67
nevers,6,NA,4,1.09,6752.77,727.67,670.91,99.80,276.51,45.50,312841.53,43617.00,27862.06,4493.00,6228.24,962.25
nodler,6,NA,1,1.07,8094.42,854.00,1848.36,186.00,44.52,12.50,285080.43,37594.17,23323.64,3871.60,321.45,209.00
noean,5,NA,0,0.00,9578.21,323.20,960.54,29.00,38.99,2.00,359925.78,43289.80,26924.55,2501.00,485.40,67.67
nointh,6,NA,0,0.00,4550.12,455.83,593.17,46.40,72.73,6.75,306480.20,35016.83,51181.06,4296.80,2077.14,308.75
noosor,6,NA,0,0.00,5855.39,527.33,529.39,43.80,2.71,4.00,293787.15,38175.83,17500.51,1983.40,296.60,87.25
nopast,6,NA,0,0.00,4620.30,451.67,421.45,46.60,13.48,1.75,287686.02,36567.33,19871.98,2735.40,1069.31,234.75
norece,6,NA,0,0.00,7393.73,600.33,1031.25,60.40,74.38,3.50,335325.96,43523.00,28564.66,3427.80,2251.37,320.25
norsen,6,NA,1,0.71,8378.74,862.00,943.66,98.40,86.62,10.00,320745.89,44132.50,28117.43,3688.00,1504.33,287.25
nould,5,NA,3,1610.21,11221.97,352.80,4996.07,32.25,3225.84,3.67,212840.29,28242.60,20427.93,1738.50,4276.94,90.33
nouly,5,NA,1,1.73,9871.72,382.40,3697.14,46.00,1628.70,3.00,195507.42,25819.40,21754.33,2507.25,2327.87,78.67
nowars,6,NA,0,0.00,5597.59,707.33,598.70,74.00,63.73,7.50,265095.20,34875.50,19375.70,2340.00,1911.47,150.50
nuemag,6,NA,0,0.00,3198.36,367.17,279.84,18.80,0.15,0.50,249070.38,32361.17,7957.49,1359.60,477.25,89.75
numoon,6,NA,0,0.00,4207.33,372.67,790.74,44.80,91.74,3.75,240052.08,29605.17,14969.68,2344.40,373.99,95.00
nurier,6,NA,0,0.00,9271.17,949.50,2202.20,197.40,179.43,22.25,286189.20,41325.50,23095.17,4557.20,1207.08,446.50
nurrs,5,NA,2,0.30,7496.56,540.80,583.73,39.00,24.23,3.33,230829.97,37391.80,9083.22,1816.00,217.35,57.67
objere,6,NA,0,0.00,4547.70,349.50,760.13,49.80,50.23,2.25,280063.94,35213.67,25427.08,3818.40,3353.14,213.25
obrngh,6,NA,0,0.00,3326.80,267.67,569.37,16.00,0.00,0.00,207960.91,25207.50,11599.47,2236.60,4.77,9.50
obruge,6,NA,0,0.00,5229.49,350.33,451.49,21.20,5.71,1.00,225922.34,30318.83,5714.24,1075.00,143.93,35.50
offect,6,NA,2,91.47,3593.90,271.83,531.35,19.20,316.58,7.75,257151.41,28895.17,13602.68,1145.00,2173.78,277.00
oftan,5,NA,1,469.40,4201.08,150.00,962.68,13.00,159.38,1.00,295729.45,32034.80,28918.77,2355.25,1011.06,165.67
oftew,5,NA,1,469.40,5747.62,256.60,1404.79,21.50,708.10,1.00,284750.97,29562.80,18489.27,2168.50,901.57,49.00
oftin,5,NA,1,469.40,4505.00,142.60,1031.65,12.00,170.05,1.00,280458.58,33336.20,37005.63,5449.50,1833.73,647.67
olond,5,NA,1,13.62,8271.14,297.00,1161.46,34.50,180.06,2.33,253884.49,31208.80,29123.64,3521.50,1693.58,258.33
opeves,6,NA,0,0.00,6753.91,897.83,911.07,145.80,126.53,16.25,291522.23,38832.00,19067.17,3930.60,2798.52,223.25
ordild,6,NA,0,0.00,6901.22,600.83,434.39,32.40,16.46,1.50,229052.84,32128.83,16305.54,2303.00,1049.56,137.50
orout,5,NA,1,33.20,7416.78,263.00,1835.77,34.25,925.71,4.67,279849.06,32537.20,29389.87,3145.75,3768.07,335.67
orove,5,NA,4,34.88,8523.78,300.20,886.28,38.25,179.89,4.67,290313.99,35018.40,23542.40,2895.50,2095.65,309.00
otaded,6,NA,0,0.00,8045.05,814.83,2334.02,235.60,174.49,21.75,325201.10,36542.50,21476.34,3571.20,1188.90,210.00
otapls,6,NA,0,0.00,5525.85,647.17,732.53,46.00,2.14,0.50,268239.56,34977.00,9776.37,1685.80,129.31,56.25
otell,5,NA,0,0.00,8075.72,204.60,1056.25,19.75,43.13,2.67,315335.91,38740.80,21889.80,3770.50,2155.32,355.33
oters,5,NA,1,3.63,9458.25,465.40,2091.87,31.25,14.26,6.33,348645.47,45047.40,31908.03,5893.00,5970.24,1614.00
othont,6,NA,0,0.00,4336.45,305.17,631.08,27.80,79.78,0.25,327008.57,32392.50,47790.41,3405.20,2999.62,247.50
otose,5,NA,0,0.00,9356.97,272.60,2022.14,29.50,471.12,3.33,364690.68,43838.00,22872.49,2230.00,1088.16,161.33
otseng,6,NA,0,0.00,4605.22,381.67,1305.47,75.80,77.24,1.00,311843.18,40243.50,26874.27,4335.60,860.73,145.25
otust,5,NA,0,0.00,7583.56,196.00,1221.83,20.25,25.15,1.00,297826.93,35821.40,18047.96,3019.50,1255.56,150.33
otyat,5,NA,0,0.00,5174.99,161.60,638.97,7.25,0.00,0.00,313806.34,32141.00,16754.14,2522.75,12.55,8.33
pacore,6,NA,0,0.00,7613.42,624.00,1247.61,62.20,291.57,4.25,277384.67,36147.33,27818.88,3929.40,1613.83,239.75
paire,5,NA,3,5.41,11744.26,476.20,1656.69,51.75,46.23,7.33,305993.75,41866.60,22604.60,2961.00,1378.37,208.00
paken,5,NA,3,115.12,8024.14,467.60,1352.49,49.00,372.37,9.33,259899.48,33110.20,17293.42,2486.50,1271.22,137.67
pallen,6,NA,4,13.97,8654.10,929.83,1225.86,132.40,427.38,27.25,268073.33,36528.33,26705.31,4282.60,3463.04,569.75
pallt,5,NA,2,0.27,8150.88,411.40,714.18,58.50,84.34,7.67,238524.81,31005.60,16281.77,2610.25,3497.72,491.67
pande,5,NA,1,0.95,8002.06,439.60,753.86,55.50,144.47,7.67,286954.77,36331.20,35125.00,3617.50,12261.84,639.67
papld,5,NA,0,0.00,7936.62,386.60,1953.22,31.50,60.46,2.67,175077.05,24973.40,8755.19,1256.75,147.90,28.67
parce,5,NA,3,1.31,9904.38,452.00,1379.00,56.50,264.70,6.67,268236.40,36714.40,15765.58,2453.00,1782.94,274.33
pardom,6,NA,1,6.31,5560.01,552.50,713.27,73.20,153.12,9.75,215919.09,27784.83,14848.86,2119.40,1823.01,305.50
parng,5,NA,0,0.00,7193.38,381.00,1796.90,58.25,187.30,6.67,214797.65,30610.40,20846.41,3859.25,1448.93,198.67
parrt,5,NA,2,0.15,8733.88,420.20,1098.27,54.50,241.34,6.67,267668.99,35010.00,14025.14,2303.25,1769.04,260.67
parury,6,NA,0,0.00,7083.43,641.33,771.61,86.40,69.76,6.75,190634.99,27395.83,14240.01,2221.00,1031.34,129.25
patas,5,NA,5,2.28,7662.12,628.60,779.43,48.50,20.56,5.00,299610.45,37817.00,25465.49,3732.50,414.55,171.67
pathty,6,NA,0,0.00,6139.89,577.33,1142.19,68.80,229.36,7.00,261531.06,26002.83,38575.56,2537.40,758.73,164.50
pauge,5,NA,2,14.99,9020.30,420.40,601.11,43.50,28.81,2.33,236712.25,31351.60,7751.25,1305.75,302.48,50.00
pavely,6,NA,1,0.89,7082.45,644.83,1303.16,95.60,225.49,15.25,212093.78,27605.50,15960.06,2382.60,2534.79,276.75
peangh,6,NA,0,0.00,5995.68,490.17,1404.33,65.60,87.75,6.25,266179.81,31594.00,30106.08,4002.20,1245.79,195.75
peatly,6,NA,3,7.91,8069.72,678.17,1878.77,98.60,102.77,9.00,270603.21,33036.67,21177.93,3448.00,1707.80,205.75
peckem,6,NA,2,0.65,8260.60,790.50,1320.24,90.00,135.79,21.00,228607.24,30937.83,11078.79,1940.80,768.33,189.75
pecong,6,NA,0,0.00,7012.02,521.67,1882.35,94.40,338.32,5.00,235059.90,31870.83,26418.16,4758.60,3167.96,530.25
peean,5,NA,2,0.33,8078.50,331.00,1139.35,44.00,42.18,3.33,357929.44,44789.60,29877.02,3180.75,575.73,89.67
pefecy,6,NA,0,0.00,6532.29,530.83,858.22,32.20,62.29,2.50,235395.12,30456.17,8070.19,1376.80,309.93,58.75
pefoon,6,NA,0,0.00,6232.59,471.17,1296.10,48.40,263.05,3.50,271277.83,32180.33,18484.08,2608.20,652.35,94.75
pehers,6,NA,1,1.73,7408.76,781.83,999.17,94.40,294.21,36.75,312079.97,40966.83,42188.05,4063.60,5988.72,808.50
penght,6,NA,0,0.00,5793.82,505.17,981.61,61.00,195.27,7.50,267914.50,30983.83,22388.69,3646.40,2250.61,251.75
pentrd,6,NA,0,0.00,8293.99,696.00,883.56,55.40,143.84,7.25,281346.98,36225.67,21307.01,3498.60,4732.32,685.00
peshes,6,NA,2,3.66,10127.58,1112.83,1631.80,175.00,112.14,25.00,315551.12,42885.33,43541.36,6321.60,2094.10,306.75
pettld,6,NA,1,0.89,9475.00,705.83,1590.22,59.80,462.94,10.25,286781.95,34445.83,10079.91,1556.60,847.36,145.50
pever,5,NA,5,201.13,9408.75,437.20,2916.96,78.50,820.58,9.33,281036.10,37633.80,29373.61,4382.00,5675.45,460.33
phargs,6,NA,1,0.54,5629.52,674.67,562.93,43.20,63.69,4.25,215950.20,29571.50,15560.94,1753.00,760.08,153.75
pheds,5,NA,1,3.51,11169.64,521.80,2746.56,39.50,74.11,4.00,254941.30,32830.00,40739.43,3024.50,814.81,189.00
pidil,5,NA,0,0.00,5427.36,280.80,348.09,26.50,0.00,0.33,205176.11,32707.40,10525.46,2204.25,208.38,112.00
pieic,5,NA,0,0.00,7192.08,290.60,1016.02,24.00,39.98,1.33,265470.74,39822.00,9600.30,2367.50,131.26,64.33
pight,5,NA,10,256.62,6482.01,265.20,2081.46,22.25,1750.12,8.33,220981.71,26385.80,7172.08,1101.50,3825.15,359.33
pithth,6,NA,0,0.00,4864.20,417.50,992.02,38.80,154.26,4.00,276297.99,27642.50,60322.59,1941.00,2341.46,92.25
plaing,6,NA,3,3.11,6257.09,568.50,2006.35,157.20,1084.79,75.25,217758.96,31905.17,30357.31,5424.60,9754.09,2032.75
plare,5,NA,7,91.80,10083.94,398.40,2549.35,57.50,395.01,9.33,278916.45,38058.20,28259.34,4191.75,4091.12,357.33
plelly,6,NA,0,0.00,5507.25,507.17,1049.84,72.60,189.11,7.50,198288.24,29468.50,18140.51,3247.80,2569.61,439.75
plmain,6,NA,0,0.00,4023.06,414.33,541.75,35.60,75.26,3.00,220876.58,31580.67,23618.43,3683.40,1563.11,160.25
plmpin,6,NA,0,0.00,3841.72,372.83,485.85,37.60,1.04,1.50,170342.57,27304.67,19825.42,3473.60,314.92,142.50
ploth,5,NA,3,18.24,6494.61,318.60,1138.32,46.00,47.26,6.67,241726.92,25901.20,40891.16,1809.75,2095.47,177.67
plout,5,NA,2,1.16,7158.11,294.00,1923.09,36.50,828.81,6.67,216367.03,27118.00,19919.95,2127.50,2761.69,289.00
plowle,6,NA,0,0.00,6838.41,497.00,1212.33,81.00,88.73,4.25,225897.89,29441.33,12523.50,2084.20,833.73,139.25
plwaic,6,NA,0,0.00,2911.41,330.50,640.90,34.00,164.21,1.25,190796.88,27236.00,11952.13,1493.40,290.34,25.00
poaced,6,NA,1,70.14,9941.97,1011.17,2250.55,231.60,112.34,7.75,264636.81,33117.83,16713.79,2930.60,955.68,136.00
poghes,6,NA,0,0.00,9152.66,1083.67,1370.84,160.00,75.44,10.25,252572.19,32162.17,35044.26,3666.40,646.89,136.75
pomen,5,NA,1,520.80,10087.25,472.60,1419.97,42.00,426.88,5.67,262485.17,33329.80,25128.04,3150.00,4435.82,496.67
ponily,6,NA,1,0.00,8056.52,725.67,1311.41,95.60,129.37,10.00,207272.41,29205.50,19538.32,3474.00,649.88,241.75
porner,6,NA,3,37.64,10099.03,1001.33,2217.45,197.80,255.49,14.75,282584.42,38436.83,28119.28,4421.40,1503.63,270.25
posird,6,NA,0,0.00,8351.73,740.67,602.00,51.20,34.52,7.00,230027.98,34890.00,10113.29,1722.40,949.50,178.25
pould,5,NA,4,1217.77,11597.24,401.40,5121.14,39.50,3241.33,5.00,171211.91,23710.00,18616.88,1874.50,4147.62,68.67
